epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,493.648,0.82292,0.68247,0.8958,0.5455,0.675,0.64998,0.43622,1.0711,1.05145,0.94569,0.000685019,0.000685019,0.000685019
43,504.897,0.79418,0.65877,0.87804,0.63704,0.6799,0.60921,0.40434,1.06841,1.19592,0.973,0.000684312,0.000684312,0.000684312
44,516.63,0.80215,0.66552,0.87881,0.5862,0.7232,0.64327,0.42973,1.09695,1.13008,0.97038,0.000683605,0.000683605,0.000683605
45,528.338,0.81483,0.67667,0.88255,0.60196,0.64291,0.589,0.37323,1.09685,1.1392,0.95357,0.000682898,0.000682898,0.000682898
46,539.642,0.81251,0.65012,0.88131,0.68243,0.68404,0.68138,0.4567,1.08842,1.09236,0.9474,0.000682191,0.000682191,0.000682191
47,551.354,0.80418,0.65349,0.89372,0.62234,0.67704,0.66959,0.44657,1.09107,1.10765,0.9594,0.000681484,0.000681484,0.000681484
48,563.146,0.80584,0.64898,0.88632,0.60743,0.66025,0.63124,0.41697,1.07555,1.14539,0.94889,0.000680778,0.000680778,0.000680778
49,574.895,0.79945,0.64329,0.87942,0.69337,0.67116,0.67069,0.44517,1.08938,1.09476,0.94969,0.000680071,0.000680071,0.000680071
50,586.451,0.78232,0.62325,0.87586,0.6722,0.67522,0.67655,0.45865,1.05696,1.06494,0.94075,0.000679364,0.000679364,0.000679364
51,597.842,0.80662,0.62693,0.87959,0.67053,0.68633,0.69511,0.45746,1.08217,1.05787,0.93121,0.000678657,0.000678657,0.000678657
52,609.112,0.77833,0.61712,0.87532,0.64685,0.71034,0.67646,0.44922,1.06115,1.06279,0.94927,0.00067795,0.00067795,0.00067795
53,620.908,0.78982,0.62797,0.8835,0.68199,0.67972,0.67525,0.44951,1.07023,1.05835,0.94433,0.000677243,0.000677243,0.000677243
54,632.652,0.76493,0.61974,0.88099,0.73441,0.63193,0.66701,0.45273,1.0667,1.14263,0.94448,0.000676536,0.000676536,0.000676536
55,644.405,0.77713,0.61918,0.88123,0.61995,0.63403,0.64602,0.43287,1.09356,1.15581,0.94874,0.00067583,0.00067583,0.00067583
56,656.302,0.77163,0.59423,0.87108,0.61455,0.71506,0.6475,0.4288,1.11332,1.06673,0.94215,0.000675123,0.000675123,0.000675123
57,667.92,0.75677,0.61351,0.87495,0.59227,0.68969,0.66002,0.44635,1.07653,1.06309,0.9463,0.000674416,0.000674416,0.000674416
58,679.375,0.76791,0.61399,0.87453,0.60557,0.60507,0.58613,0.3987,1.07297,1.15482,0.95348,0.000673709,0.000673709,0.000673709
59,690.826,0.75416,0.59839,0.87043,0.59559,0.76686,0.66753,0.45227,1.06358,1.08049,0.91382,0.000673002,0.000673002,0.000673002
60,702.329,0.77103,0.5914,0.88185,0.54646,0.77619,0.67041,0.44833,1.04697,1.06251,0.94557,0.000672295,0.000672295,0.000672295
61,713.84,0.74672,0.58193,0.87632,0.57301,0.66596,0.60743,0.40959,1.05738,1.21149,0.94165,0.000671588,0.000671588,0.000671588
62,724.995,0.74438,0.58673,0.87125,0.60845,0.69595,0.65935,0.4342,1.05268,1.08544,0.93767,0.000670882,0.000670882,0.000670882
63,736.789,0.75403,0.58,0.87815,0.63466,0.68216,0.6648,0.43241,1.05721,1.03667,0.93396,0.000670175,0.000670175,0.000670175
64,748.042,0.76466,0.57743,0.87477,0.55045,0.68757,0.61777,0.41086,1.05766,1.06235,0.93659,0.000669468,0.000669468,0.000669468
65,759.396,0.72884,0.57358,0.86964,0.68876,0.62564,0.65094,0.42806,1.11665,1.13133,0.95697,0.000668761,0.000668761,0.000668761
